                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    215,                0.14708,                0.70192,                      1,                0.86343,             0.00041288,             0.00041288,             0.00041288
                    216,                0.22835,                0.70192,                      1,                0.83203,             0.00041146,             0.00041146,             0.00041146
                    217,                 0.1968,                0.72115,                      1,                0.77928,             0.00041005,             0.00041005,             0.00041005
                    218,                 0.2155,                0.73077,                      1,                0.81434,             0.00040864,             0.00040864,             0.00040864
                    219,                0.13922,                0.69231,                      1,                0.87027,             0.00040722,             0.00040722,             0.00040722
                    220,                 0.2084,                0.67308,                      1,                 0.8303,             0.00040581,             0.00040581,             0.00040581
                    221,                0.16134,                0.70192,                      1,                 0.8118,              0.0004044,              0.0004044,              0.0004044
                    222,                0.17163,                0.69231,                      1,                0.77611,             0.00040298,             0.00040298,             0.00040298
                    223,                0.15231,                0.67308,                      1,                 0.8367,             0.00040157,             0.00040157,             0.00040157
                    224,                0.17169,                0.67308,                      1,                0.87859,             0.00040015,             0.00040015,             0.00040015
                    225,                0.12523,                0.65385,                      1,                0.84068,             0.00039874,             0.00039874,             0.00039874
                    226,                0.15743,                0.65385,                      1,                0.85267,             0.00039733,             0.00039733,             0.00039733
                    227,                0.13652,                0.69231,                      1,                0.88557,             0.00039591,             0.00039591,             0.00039591
                    228,                0.19131,                0.72115,                      1,                0.81968,              0.0003945,              0.0003945,              0.0003945
                    229,                0.18615,                0.73077,                      1,                0.81733,             0.00039309,             0.00039309,             0.00039309
                    230,                0.15779,                0.74038,                      1,                0.82925,             0.00039167,             0.00039167,             0.00039167
                    231,                0.14796,                0.76923,                      1,                0.78504,             0.00039026,             0.00039026,             0.00039026
                    232,                0.15263,                   0.75,                      1,                 0.7917,             0.00038884,             0.00038884,             0.00038884
                    233,                0.11707,                0.73077,                      1,                0.81195,             0.00038743,             0.00038743,             0.00038743
                    234,                 0.1712,                0.71154,                      1,                0.81545,             0.00038602,             0.00038602,             0.00038602
                    235,                0.13417,                0.74038,                      1,                0.81684,              0.0003846,              0.0003846,              0.0003846
                    236,                0.17246,                0.68269,                      1,                0.82778,             0.00038319,             0.00038319,             0.00038319
                    237,                0.17514,                0.69231,                      1,                0.86725,             0.00038178,             0.00038178,             0.00038178
                    238,                0.16278,                0.69231,                      1,                0.82568,             0.00038036,             0.00038036,             0.00038036
                    239,                0.19785,                0.70192,                      1,                0.84438,             0.00037895,             0.00037895,             0.00037895
                    240,                0.13251,                0.71154,                      1,                0.84931,             0.00037753,             0.00037753,             0.00037753
                    241,                0.15002,                0.70192,                      1,                0.82749,             0.00037612,             0.00037612,             0.00037612
